Restaurant Name,Ratings,Address,Contact Number
Chacha Chaudhary Express Bu..,4.7,"857 Ground Floor, Main Road, Mukherjee Nagar, Delhi - 110009, Near Munafa Mart","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-ji,mobilesv icon-vu,mobilesv icon-ts,mobilesv icon-ts"
Kesar Pure Veg,4.1,"G-3, Aggarwal Chamber, Sainik Vihar-Pitampura, Delhi - 110034, Opposite Keshav Mahavidyalaya","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-acb,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-ba,mobilesv icon-ts,mobilesv icon-rq,mobilesv icon-acb,mobilesv icon-po,mobilesv icon-rq,mobilesv icon-rq,mobilesv icon-acb,mobilesv icon-acb"
Radiant Restaurant,3.8,"Shop Number C- 38, Milap Nagar Road, Uttam Nagar, Delhi - 110059, Near Uttam Nagar East Metro Station","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-ji,mobilesv icon-lk,mobilesv icon-nm,mobilesv icon-acb,mobilesv icon-ts,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-lk"
Punjabi Angithi,4.5,"B20, Metro Station, Sector 16, Sector 16 , Noida, Noida - 201301, Near Sector 16","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-acb,mobilesv icon-po,mobilesv icon-po,mobilesv icon-ts"
BRYC Cafe & Restaurant,4.1,"Shop No: 41, Saini Mahoola, Najafgarh, Delhi - 110043, Opposite Health Centre","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-lk,mobilesv icon-ts,mobilesv icon-ts,mobilesv icon-lk,mobilesv icon-vu,mobilesv icon-po,mobilesv icon-rq,mobilesv icon-lk,mobilesv icon-nm,mobilesv icon-vu"
Punjabi Angithi,2.3,"kitchen block no 6 Nathupur Dlf Ph 3, Nathupur, DLF Gurgaon, Gurgaon - 122002","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-lk,mobilesv icon-acb,mobilesv icon-rq,mobilesv icon-wx"
Hotspot Express,4.8,"Shop 4a , Devika Skypers, Raj Nagar Extension Ghaziabad, Ghaziabad - 201017, Near Vvip","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-ji,mobilesv icon-rq,mobilesv icon-nm,mobilesv icon-ji"
Kc Desi,4.3,"C-4F/246 , Upper Ground Floor, Janakpuri, delhi - 110058, Near Maharaja Surajmal Institute Of Pharmacy & Tech","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-vu,mobilesv icon-nm,mobilesv icon-yz,mobilesv icon-lk"
Karnataka Restaurant,4.1,"60/5, Yusuf Sarai-green Park, Delhi - 110016, Opposite Gurudwara, Near Green Park Metro Station","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-ts,mobilesv icon-lk,mobilesv icon-rq,mobilesv icon-rq"
Shri Krishna Restaurant,3.9,"26 B/2, D B Gupta Road, Anand Parbat, Delhi - 110005, Near Hanuman Mandir","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-ba,mobilesv icon-wx,mobilesv icon-lk,mobilesv icon-nm,mobilesv icon-yz,mobilesv icon-po,mobilesv icon-nm,mobilesv icon-ts,mobilesv icon-lk"
